% DATASET: https://www.muratkoklu.com/datasets/
% Reference: Cinar, I. and Koklu, M. (2019). Classification of Rice Varieties Using Artificial Intelligence Methods. International Journal of Intelligent Systems and Applications in Engineering,  vol.7, no.3 (Sep. 2019), pp.188-194.
% https://doi.org/10.18201/ijisae.2019355381(https://www.ijisae.org/IJISAE/article/view/1068)
% DATASET: https://www.muratkoklu.com/datasets/

@RELATION Rice_Cammeo_Osmancik
@ATTRIBUTE Area Integer
@ATTRIBUTE Perimeter Real
@ATTRIBUTE Major_Axis_Length Real
@ATTRIBUTE Minor_Axis_Length Real
@ATTRIBUTE Eccentricity	Real
@ATTRIBUTE Convex_Area	Integer
@ATTRIBUTE Extent Real
@ATTRIBUTE Class {Cammeo, Osmancik}

@DATA
15231,525.5789794921875,229.7498779296875,85.09378814697266,0.9288820028305054,15617,0.5728955268859863,Cammeo
14656,494.3110046386719,206.0200653076172,91.73097229003906,0.8954049944877625,15072,0.615436315536499,Cammeo
14634,501.12200927734375,214.10678100585938,87.7682876586914,0.9121180772781372,14954,0.6932588219642639,Cammeo
13176,458.3429870605469,193.33738708496094,87.44839477539062,0.8918609023094177,13368,0.640669047832489,Cammeo
14688,507.1669921875,211.74337768554688,89.31245422363281,0.9066908955574036,15262,0.6460239291191101,Cammeo
13479,477.0159912109375,200.0530548095703,86.6502914428711,0.9013283252716064,13786,0.6578972935676575,Cammeo
15757,509.281005859375,207.2966766357422,98.33613586425781,0.8803234696388245,16150,0.5897080898284912,Cammeo
16405,526.5700073242188,221.61251831054688,95.43670654296875,0.9025205969810486,16837,0.6588882803916931,Cammeo
14534,483.6409912109375,196.65081787109375,95.0506820678711,0.8754285573959351,14932,0.6496513485908508,Cammeo
13485,471.57000732421875,198.27264404296875,87.72728729248047,0.8967893123626709,13734,0.5723198652267456,Cammeo
14930,499.92498779296875,212.24581909179688,90.0174789428711,0.9056064486503601,15248,0.6243727207183838,Cammeo
14626,496.58599853515625,204.5341339111328,92.97486877441406,0.8907115459442139,15070,0.5702144503593445,Cammeo
15926,522.739990234375,225.73605346679688,91.05709075927734,0.9150331616401672,16240,0.7797688841819763,Cammeo
14076,479.677001953125,199.48915100097656,90.7099838256836,0.8906388878822327,14434,0.7812187671661377,Cammeo
13500,476.9150085449219,202.5466766357422,85.40547180175781,0.9067548513412476,13800,0.7177033424377441,Cammeo
14349,496.9460144042969,213.5440216064453,86.16077423095703,0.9149883985519409,14678,0.6668370962142944,Cammeo
15209,496.56500244140625,214.05007934570312,91.02632141113281,0.9050725698471069,15395,0.5693695545196533,Cammeo
15238,496.8710021972656,208.5317840576172,93.82839965820312,0.8930549025535583,15487,0.7323144674301147,Cammeo
13509,480.46600341796875,207.1371612548828,83.9401626586914,0.9142105579376221,13732,0.595634937286377,Cammeo
13699,480.72900390625,197.97091674804688,89.9490737915039,0.8908207416534424,14178,0.6720467209815979,Cammeo
13921,481.9930114746094,203.4448699951172,88.12581634521484,0.9013131856918335,14210,0.5613306164741516,Cammeo
14405,488.23699951171875,204.4301300048828,90.62645721435547,0.896367073059082,14742,0.7637857794761658,Cammeo
13377,472.96099853515625,199.94078063964844,86.68286895751953,0.9011330008506775,13685,0.7948306798934937,Cammeo
15043,498.29901123046875,206.01170349121094,94.76668548583984,0.8879156708717346,15414,0.5868836045265198,Cammeo
14590,496.1719970703125,212.1007537841797,88.60240936279297,0.9085678458213806,14883,0.5714845061302185,Cammeo
13237,466.00299072265625,197.90480041503906,85.7095718383789,0.9013531804084778,13445,0.5924185514450073,Cammeo
16226,524.2050170898438,216.87326049804688,96.65367889404297,0.895197868347168,16748,0.6486248970031738,Cammeo
13203,469.46600341796875,199.34185791015625,85.38957214355469,0.9036093950271606,13431,0.6015582084655762,Cammeo
13328,473.04400634765625,201.39886474609375,85.25860595703125,0.9059745669364929,13588,0.7800995111465454,Cammeo
14945,493.1080017089844,202.04698181152344,95.07941436767578,0.8823569416999817,15357,0.7399980425834656,Cammeo
13130,467.9219970703125,196.1468048095703,86.20711517333984,0.8982411026954651,13462,0.5748183131217957,Cammeo
13414,479.9010009765625,203.08596801757812,85.73687744140625,0.9065164923667908,13735,0.7140423655509949,Cammeo
16104,507.4289855957031,206.07073974609375,100.75363159179688,0.8723244667053223,16457,0.605413556098938,Cammeo
11827,455.22100830078125,194.78445434570312,78.43153381347656,0.9153504967689514,12212,0.7699869871139526,Cammeo
14479,475.92498779296875,200.55194091796875,92.17806243896484,0.8881146907806396,14696,0.7114288806915283,Cammeo
14306,482.24798583984375,197.685791015625,94.05610656738281,0.8795611262321472,14667,0.5879500508308411,Cammeo
14415,488.12200927734375,203.5928497314453,91.03472900390625,0.8944634199142456,14758,0.6741021275520325,Cammeo
14415,490.0660095214844,206.53924560546875,90.01753234863281,0.9000254273414612,14671,0.653326690196991,Cammeo
14524,480.2120056152344,199.93301391601562,93.31210327148438,0.8844068050384521,14808,0.6112794876098633,Cammeo
13780,497.4280090332031,221.722900390625,79.95213317871094,0.9327225685119629,14010,0.5507814288139343,Cammeo
12768,464.82000732421875,195.38815307617188,84.35991668701172,0.9019906520843506,13085,0.5829870700836182,Cammeo
13047,486.3689880371094,213.19447326660156,79.28887176513672,0.9282693266868591,13621,0.6154245138168335,Cammeo
14456,492.95098876953125,212.41122436523438,87.3601303100586,0.9115098118782043,14726,0.7950283288955688,Cammeo
13973,474.00799560546875,192.3492889404297,93.77914428710938,0.8730972409248352,14354,0.6141977906227112,Cammeo
13858,482.5799865722656,205.02015686035156,86.96467590332031,0.905579686164856,14154,0.5559210777282715,Cammeo
